============================================================
M3U8 CHANNEL STATUS REPORT
Generated: 21/6/2026, 17:11:53
Checked: 212 links
============================================================
Active: 111
Inactive: 96

## ✅ ACTIVE CHANNELS:
- cnbcarabiya - <https://cnbc-live.akamaized.net/cnbc/master.m3u8>
- news24 - <http://tv.balkanweb.com:8081/news24/livestream/playlist.m3u8>
- rtn - <https://media.neuquen.gov.ar/rtn/television/media.m3u8>
- sicarditv - <https://vivo.solumedia.com:19360/sicarditv/sicarditv.m3u8>
- redbulltv - <https://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master.m3u8>
- rtv - <http://iptv.rtv-ooe.at/stream.m3u8>
- abcnews - <https://c.mjh.nz/abc-news.m3u8>
- cbctv8 - <https://1740288887.rsc.cdn77.org/1740288887/index.m3u8>
- belrtl - <https://bel-live-hls.akamaized.net/hls/live/2038650/BEL-Live-HLS/master.m3u8>
- ctvbolivia - <https://live.ctvbolivia.com/hls/ctv.m3u8>
- rbatv - <https://cdn.live.br1.jmvstream.com/w/LVW-15748/LVW15748_Yed7yzLuRC/playlist.m3u8>
- sbtinterior - <https://cdn.jmvstream.com/w/LVW-10801/LVW10801_Xvg4R0u57n/playlist.m3u8>
- guardiantalkradio - <https://cdn-edge1.streamcomedia.com/abr_tngr969fm/abr-tngr969fm_streams/playlist.m3u8>
- hardknocks - <https://d3uyzhwvmemdyf.cloudfront.net/v1/master/9d062541f2ff39b5c0f48b743c6411d25f62fc25/Hard-Knocks-DistroTV/109.m3u8>
- pardesitv - <http://stream.pardesitv.online/pardesi/index.m3u8>
- sardaritv - <http://158.69.124.9:1935/sardaritv/sardaritv/playlist.m3u8>
- rtnc - <http://69.64.57.208/rtnc/playlist.m3u8>
- 13c - <https://origin.dpsgo.com/ssai/event/GI-9cp_bT8KcerLpZwkuhw/master.m3u8>
- uatv - <https://unlimited1-us.dps.live/uatv/uatv.smil/playlist.m3u8>
- cctvplus1 - <https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8>
- cctvplus2 - <https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL2.smil/playlist.m3u8>
- cgtndocumentary - <https://amg00405-rakutentv-cgtndocumentary-rakuten-0ql8j.amagi.tv/master.m3u8>
- cgtnfrench - <https://amg01314-cgtn-amg01314c2-rakuten-us-1319.playouts.now.amagi.tv/cgtn-fr-rakuten/playlist.m3u8>
- cgtnrussian - <https://russian-livews.cgtn.com/hls/LSvexABhNipibK5KRuUkvHZ7220802LSTeze9o8tdFXMHsb1VosgoT220802cd/playlist.m3u8>
- cgtnspanish - <https://amg01314-cgtn-amg01314c3-rakuten-uk-1318.playouts.now.amagi.tv/cgtn-es-rakuten/playlist.m3u8>
- nicoyatv - <https://59ef525c24caa.streamlock.net/nicoyatv/nicoyatv/playlist.m3u8>
- ardalpha - <https://brlive-lh.akamaihd.net/i/bralpha_germany@119899/master.m3u8>
- dw - <https://dwamdstream102.akamaized.net/hls/live/2015525/dwstream102/index.m3u8>
- nickelodeon - <https://ma.anixa.tv/clips/stream/nickelodeon/playlist.php>
- globaltv - <https://stmv4.voxtvhd.com.br/globaltv/globaltv/playlist.m3u8>
- 3/24 - <https://directes-tv-int.3catdirectes.cat/live-origin/canal324-hls/master.m3u8>
- estutele - <https://cloud.streamingconnect.tv/hls/estutele/estutele.m3u8>
- la1 - <https://ztnr.rtve.es/ztnr/1688877.m3u8>
- la2 - <https://rtvelivestream.rtve.es/rtvesec/la2/la2_main_dvr_720.m3u8>
- 20minutestv - <https://live-20minutestv.digiteka.com/1961167769/index.m3u8>
- cnews - <https://raw.githubusercontent.com/LeBazarDeBryan/XTVZ_/main/Stream/Live/CNews.m3u8>
- france2 - <http://69.64.57.208/france2/mono.m3u8>
- bbcdramaes - <https://amg00793-amg00793c40-rakuten-es-5444.playouts.now.amagi.tv/playlist.m3u8>
- bbcnews - <http://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/65d92a8c8b24c80008e285c0/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=6c26f5a2-30d3-11ef-9cf5-e9ddff8ff496&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&serverSideAds=false&sid=9f1a48db-9022-43d1-bb25-ba665285192f>
- sbtv - <https://live.leveex.hr/hls/live.m3u8>
- cnbcindonesia - <https://live.cnbcindonesia.com/livecnbc/smil:cnbctv.smil/master.m3u8>
- tatv - <https://v2.siar.us/tatv/live.sdp/playlist.m3u8>
- aajtak - <https://feeds.intoday.in/aajtak/api/aajtakhd/master.m3u8>
- filamchibhojpuri - <https://epiconvh.akamaized.net/live/filamchi/master.m3u8>
- starsports1 - <http://41.205.93.154/STARSPORTS1/index.m3u8>
- tv9bharatvarsh - <https://dyjmyiv3bp2ez.cloudfront.net/pub-iotv9hinjzgtpe/liveabr/playlist.m3u8>
- farmodatv - <https://avr.host247.net/live/FarmodaTV/playlist.m3u8>
- carinatv - <https://samson.streamerr.co:8081/carinatv/tracks-v1a1/playlist.m3u8>
- grpveratv - <https://webstream.multistream.it/memfs/a3195c96-f884-4c74-924f-2648814fc0b5_output_0.m3u8>
- italia2 - <https://59d7d6f47d7fc.streamlock.net/italia2/italia2/playlist.m3u8>
- lacnews24 - <https://f5842579ff984c1c98d63b8d789673eb.msvdn.net/live/S27391994/HVvPMzy/playlist.m3u8>
- rai1 - <https://dash2.antik.sk/live/test_rai_uno_tizen/playlist.m3u8>
- rtl1025best - <https://dd782ed59e2a4e86aabf6fc508674b59.msvdn.net/live/S76960628/OEPHRUIctA0M/playlist_video.m3u8>
- rtl1025brosis - <https://dd782ed59e2a4e86aabf6fc508674b59.msvdn.net/live/S75007890/MUGHuxc9dQ3b/playlist_video.m3u8>
- rtl1025napule - <https://dd782ed59e2a4e86aabf6fc508674b59.msvdn.net/live/S27134503/0f9AhuwKlhnZ/playlist_video.m3u8>
- rtl1025tv - <https://dd782ed59e2a4e86aabf6fc508674b59.msvdn.net/live/S97044836/tbbP8T1ZRPBL/playlist_video.m3u8>
- sportitalia24 - <https://amg01370-italiansportcom-sportitalia-rakuten-3hmdb.amagi.tv/hls/amagi_hls_data_rakutenAA-sportitalia-rakuten/CDN/master.m3u8>
- 312kino - <http://176.126.166.43:1935/live/312kino/playlist.m3u8>
- arirangradio - <http://amdlive-ch01.ctnd.com.edgesuite.net/arirang_3ch/smil:arirang_3ch.smil/playlist.m3u8>
- arirangtv - <https://cdn-01.bonus-tv.ru/arirang_edge/playlist.m3u8>
- arirangun - <https://amdlive-ch02-ctnd-com.akamaized.net/arirang_2ch/smil:arirang_2ch.smil/playlist.m3u8>
- ebs1tv - <https://ebsonair.ebs.co.kr/ebs1familypc/familypc1m/playlist.m3u8>
- kbs1tv - <http://mytv.dothome.co.kr/ch/public/1.php>
- rtlteleletzebuerg - <https://live-edge.rtl.lu/channel1/smil:channel1/playlist.m3u8>
- rtlwebradiotv - <https://rtlradio-streaming.rtl.lu/rtlradiowebtv/smil:rtlradiowebtv/playlist.m3u8>
- rtlzwee - <https://live-edge.rtl.lu/channel2/smil:channel2/playlist.m3u8>
- tvmonaco - <https://production-fast-mcrtv.content.okast.tv/channels/2116dc08-1959-465d-857f-3619daefb66b/b702b2b9-aebd-436c-be69-2118f56f3d86/master.m3u8>
- aztecainternacional - <https://azt-mun.otteravision.com/azt/mun/mun.m3u8>
- lasestrellas - <https://channel01-onlymex.akamaized.net/hls/live/2022749/event01/index.m3u8>
- tvcnews - <http://69.64.57.208/tvcnews/playlist.m3u8>
- nh - <https://takeoff.jetstre.am/?account=nhnieuws&file=live&output=playlist.m3u8&protocol=https&service=wowza&type=live>
- omroephoekschewaard - <https://ms2.mx-cd.net/tv/272-2641704/Hoeksche_Waard_TV.smil/playlist.m3u8>
- omroepsudwest - <https://d2ecwd3cgy6wo0.cloudfront.net/nlpo/clr-nlpo/omroepsudwest/index.m3u8>
- rselvatv - <https://live.obslivestream.com/selvatv/index.m3u8>
- euronews - <https://euronews-live-pol-pl.fast.rakuten.tv/v1/master/0547f18649bd788bec7b67b746e47670f558b6b2/production-LiveChannel-6769/bitok/eyJzdGlkIjoiNDgyYjMzYzEtYmYwYi00NTIzLThlMGMtZGZmY2ZkNjYyMGU1IiwibWt0IjoicGwiLCJjaCI6Njc2OSwicHRmIjo1fQ==/26235/euronews-pl.m3u8>
- hardknocksfightingchampionship - <https://d39g1vxj2ef6in.cloudfront.net/v1/manifest/3fec3e5cac39a52b2132f9c66c83dae043dc17d4/prod-rakuten-stitched/2ee2b8d4-acc4-4296-9dc8-66f1ffd0fff8/5.m3u8>
- worldbilliards - <https://9a81dd4ee3884d0dbcacafaf0d81327a.mediatailor.us-east-1.amazonaws.com/v1/master/04fd913bb278d8775298c26fdca9d9841f37601f/RakutenTV-eu_BilliardsTV/playlist.m3u8>
- catv - <https://video2.getstreamhosting.com:19360/8216/8216.m3u8>
- famatv - <https://tv2.fastcast4u.com:3310/live/famatvlive.m3u8>
- gotv - <https://rds3.desdeparaguay.net/gotv/gotv/playlist.m3u8>
- aljazeeramubasher - <https://live-hls-apps-ajm-fa.getaj.net/AJM/index.m3u8>
- sperantatv - <https://customer-x8zydurm357k8j9p.cloudflarestream.com/0dd00c080ff4cbe839a12c923610a55c/manifest/video.m3u8>
- rt - <https://rumble.com/live-hls-dvr/33aw1a/playlist.m3u8>
- u - <http://zabava-htlive.cdn.ngenix.net/hls/CH_U/variant.m3u8>
- sbttv - <http://122.155.12.107:1935/live/sbt_tv_aac_300/playlist.m3u8>
- thaipbs - <https://thaipbs-live.cdn.byteark.com/live/playlist.m3u8>
- kardelentv - <https://edge1.socialsmart.tv/kardelentv/bant1/playlist.m3u8>
- trtworld - <https://tv-trtworld.medya.trt.com.tr/master.m3u8>
- bbcdrama - <https://service-stitcher.clusters.pluto.tv/v1/stitch/embed/hls/channel/60dafb9a0df1ba000758d37b/master.m3u8?advertisingId=channel&appName=rokuchannel&appVersion=1.0&bmodel=bm1&channel_id=channel&content=channel&content_rating=ROKU_ADS_CONTENT_RATING&content_type=livefeed&coppa=false&deviceDNT=1&deviceId=channel&deviceMake=rokuChannel&deviceModel=web&deviceType=rokuChannel&deviceVersion=1.0&embedPartner=rokuChannel&genre=ROKU_ADS_CONTENT_GENRE&is_lat=1&platform=web&rdid=channel&serverSideAds=false&studio_id=viacom&tags=ROKU_CONTENT_TAGS>
- atvsat - <https://stream.atvsat.com/atvsatlive/smil:atvsatlive.smil/playlist.m3u8>
- auroratv - <https://reflect-aurora.cablecast.tv/live-8/live/live.m3u8>
- bbchomegarden - <http://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/5fb5836fe745b600070fc743/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=6c26f5a1-30d3-11ef-9cf5-e9ddff8ff496&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&serverSideAds=false&sid=844b6663-bad2-462b-9aef-d0f33d5dfaa0>
- beachtv - <http://media4.tripsmarter.com:1935/LiveTV/MTVHD/playlist.m3u8>
- beinsportsxtra - <https://bein-xtra-xumo.amagi.tv/playlist.m3u8>
- billiardtv - <http://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/65df0cff66eec8000897b3a4/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=1b1cc775-4b81-11ef-a8ac-e146e4e7be02&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&serverSideAds=false&sid=36e4c683-680e-486f-91f0-ce1f0f88c4b6>
- cbsnews247 - <http://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/5a6b92f6e22a617379789618/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=6c276ad5-30d3-11ef-9cf5-e9ddff8ff496&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&serverSideAds=false&sid=36903a12-54e9-4279-a247-c026f64396a8>
- daretodreamnetwork - <https://3abn.bozztv.com/3abn2/d2d_live/smil:d2d_live.smil/playlist.m3u8>
- foxnewsradio - <https://radiovid.foxnews.com/hls/live/661547/RADIOVID/index.m3u8>
- heartland - <http://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/61f07513227feb00073ee6bc/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=6c291888-30d3-11ef-9cf5-e9ddff8ff496&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&serverSideAds=false&sid=4c0b4f02-0b37-467a-87a8-5f605cce8cba>
- msnbc - <http://41.205.93.154/MSNBC/index.m3u8>
- nbc - <https://xumo-drct-nbcnn-ir8ze.fast.nbcuni.com/live/master.m3u8>
- nbcnewsnow - <http://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/5df97894467dfa00091c873c/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=6c2a5101-30d3-11ef-9cf5-e9ddff8ff496&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&serverSideAds=false&sid=f97284ae-c6d0-447a-b3ee-5be284830e0b>
- pbsantiquesroadshow - <http://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/636c2b3c55d2e700074105c4/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=6c2a9f22-30d3-11ef-9cf5-e9ddff8ff496&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&serverSideAds=false&sid=45ec09d8-36de-4581-9848-35cbe70a0eb0>
- pbskidseasterncentral - <https://2-fss-2.streamhoster.com/pl_140/amlst:200914-1298290/playlist.m3u8>
- pbsnature - <http://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/640a64bd73e013000893d4e0/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=6c2a9f23-30d3-11ef-9cf5-e9ddff8ff496&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&serverSideAds=false&sid=c1a2f62c-0e00-4ba7-b555-34d14d59fee4>
- portlandia - <https://amc-portlandia-1-us.xumo.wurl.tv/playlist.m3u8>
- samuelgoldwynclassics - <https://samuelgoldwyn-classics-1-us.roku.wurl.tv/playlist.m3u8>
- storiesbyamc - <http://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/5e8254118601b80007b4b7ae/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=6c2bd7a7-30d3-11ef-9cf5-e9ddff8ff496&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&serverSideAds=false&sid=376bc851-10a1-4952-ada7-86e9d28d5845>
- totallyturtles - <http://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/5d0c16d686454ead733d08f8/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=6c2c73e9-30d3-11ef-9cf5-e9ddff8ff496&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&serverSideAds=false&sid=3441abd1-12dc-4351-b79d-3b4eb58dc339>
- vicetv - <https://vicetv-vicefast1-firetv.amagi.tv/playlist.m3u8>
- sabcnews - <https://sabconetanw.cdn.mangomolo.com/news/smil:news.stream.smil/master.m3u8>

##  ❌ INACTIVE CHANNELS:
- 1tv - <https://live20.bozztv.com/dvrfl05/gin-1tvafg/index.m3u8>
- alternatv - <https://alternatv.ar/stream/hls/live.m3u8>
- atv - <https://strm.hdtvizlecanli.com/live/atv.m3u8>
- atv2 - <https://viamotionhsi.netplus.ch/live/eds/atv/browser-dash/atv.mpd>
- skynews - <https://linear417-gb-hls1-prd-ak.cdn.skycdp.com/100e/Content/HLS_001_1080_30/Live/channel(skynews)/04_1080-30.m3u8>
- arubatvplus - <https://livertmptwo.com:19360/atvplusrelay/atvplusrelay.m3u8>
- cbcsport - <https://mn-nl.mncdn.com/cbcsports_live/cbcsports/playlist.m3u8>
- aljazeerabalkans - <https://live-hls-apps-ajb-v3-fa.getaj.net/AJB/index.m3u8>
- catve2 - <https://5b33b873179a2.streamlock.net:1443/catve2/catve2/playlist.m3u8>
- catvefm - <https://5b33b873179a2.streamlock.net:1443/radiocamera/livestream/playlist.m3u8>
- catvemastertv - <https://5b33b873179a2.streamlock.net:1443/mastertv/livestream/playlist.m3u8>
- tvmon - <https://srv1.zcast.com.br/tvmon/tvmon/playlist.m3u8>
- cbcnewsnetwork - <https://amg00788-cbc-amg00788c4-xumo-us-3045.playouts.now.amagi.tv/master.m3u8>
- cbctdt - <https://cbcrclinear-tor.akamaized.net/hls/live/2042756/CBCRCLINEAR_TOR_2/master5.m3u8>
- ctv - <https://pe-fa-lp02a.9c9media.com/live/News1Digi/p/hls/00000201/38ef78f479b07aa0/index/0c6a10a2/live/stream/h264/v1/3500000/manifest.m3u8>
- hamdardtv - <https://tv.hamdardtv.com/hamdard/index.m3u8>
- tsn1 - <https://fl4.moveonjoy.com/TSN_1/index.m3u8>
- cbctv - <https://stream.berosat.live:19360/cbc-tv/cbc-tv.m3u8>
- rtnc3 - <http://51.254.199.122:8080/e-cableRTNC3/index.m3u8>
- rsila1 - <https://viamotionhsi.netplus.ch/live/eds/rsila1hd/browser-dash/rsila1hd.mpd>
- cnnchile - <https://redirector.rudo.video/hls-video/lvcl5/cnn/cnn.smil/playlist.m3u8?DVR>
 - <https://jireh-2-hls-video-cl-vtr.dps.live/hls-video/lvcl5/cnn/cnn.smil/cnn/livestream1/chunks.m3u8>
- cctvbilliards - <http://117.161.133.51:81/gitv_live/G_TAIQIU-CQ/G_TAIQIU-CQ.m3u8?p=GITV>
- cgtn - <https://strm.hdtvizlecanli.com/live/atv.m3u8>
- caracoltv - <https://cdn1.intercom.cdn.moderntv.eu/intercom/stream/CARACOL/20-hls/live-media.m3u8>
- nationalgeographic - <https://fl4.moveonjoy.com/National_Geographic/index.m3u8>
- disneychannel - <https://viamotionhsi.netplus.ch/live/eds/disneychannelde/browser-HLS8/disneychannelde.m3u8>
- kabeleins - <https://strm.hdtvizlecanli.com/live/kabel1.m3u8>
- ltv - <https://live2.telvi.de/hls/l-tv_s1.m3u8>
- oktvludwigshafen - <https://s.ok54.de/oklu/livestream/playlist.m3u8>
- rtl - <https://viamotionhsi.netplus.ch/live/eds/rtl/browser-HLS8/rtl.m3u8>
- rtlzwei - <https://viamotionhsi.netplus.ch/live/eds/rtl2/browser-dash/rtl2.mpd>
- zdf - <https://viamotionhsi.netplus.ch/live/eds/zdfhd/browser-dash/zdfhd.mpd>
